Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind
2021-09-23 20:53:22,CRO -> USD,CRO,-80.0,USD,13.29,USD,13.29,13.29,crypto_to_van_sell_order
2021-09-07 21:31:17,Top Up Card,USD,-1386.32,USD,1386.32,USD,1386.32,1386.32,van_card_top_up
2021-09-07 21:30:27,CRO -> USD,CRO,-1605.5,USD,260.67,USD,260.67,260.67,crypto_to_van_sell_order
2021-09-07 21:30:02,ONE -> USD,ONE,-9988.0,USD,1125.65,USD,1125.65,1125.65,crypto_to_van_sell_order
2021-08-07 18:10:09,Top Up Card,USD,-24.28,USD,24.28,USD,24.28,24.28,van_card_top_up
2021-08-07 18:09:11,CRO -> USD,CRO,-180.4,USD,24.28,USD,24.28,24.28,crypto_to_van_sell_order
2021-07-17 22:37:49,Top Up Card,USD,-18.3,USD,18.3,USD,18.3,18.3,van_card_top_up
2021-07-17 22:36:35,CRO -> USD,CRO,-164.6,USD,18.3,USD,18.3,18.3,crypto_to_van_sell_order
2021-07-13 17:58:51,Top Up Card,USD,-2139.27,USD,2139.27,USD,2139.27,2139.27,van_card_top_up
2021-07-13 17:57:31,ADA -> USD,ADA,-1696.8,USD,2139.27,USD,2139.27,2139.27,crypto_to_van_sell_order
2021-07-11 20:55:29,Top Up Card,USD,-45.37,USD,45.37,USD,45.37,45.37,van_card_top_up
2021-07-11 20:54:26,CRO -> USD,CRO,-357.7,USD,45.37,USD,45.37,45.37,crypto_to_van_sell_order
2021-07-10 20:57:03,Top Up Card,USD,-23.15,USD,23.15,USD,23.15,23.15,van_card_top_up
2021-07-10 20:55:33,CRO -> USD,CRO,-200.0,USD,23.15,USD,23.15,23.15,crypto_to_van_sell_order
2021-06-26 05:41:07,Top Up Card,USD,-868.44,USD,868.44,USD,868.44,868.44,van_card_top_up
2021-06-26 05:40:10,ADA -> USD,ADA,-691.39,USD,868.44,USD,868.44,868.44,crypto_to_van_sell_order
2021-06-26 01:49:56,Top Up Card,USD,-1215.99,USD,1215.99,USD,1215.99,1215.99,van_card_top_up
2021-06-26 01:49:14,ADA -> USD,ADA,-1000.0,USD,1215.99,USD,1215.99,1215.99,crypto_to_van_sell_order
2021-06-23 20:12:47,Top Up Card,USD,-972.38,USD,972.38,USD,972.38,972.38,van_card_top_up
2021-06-23 20:12:01,ADA -> USD,ADA,-815.28,USD,972.38,USD,972.38,972.38,crypto_to_van_sell_order
2021-06-21 22:01:55,Top Up Card,USD,-236.38,USD,236.38,USD,236.38,236.38,van_card_top_up
2021-06-21 22:00:38,ADA -> USD,ADA,-200.0,USD,236.38,USD,236.38,236.38,crypto_to_van_sell_order
2021-06-13 18:12:25,Top Up Card,USD,-1850.78,USD,1850.78,USD,1850.78,1850.78,van_card_top_up
2021-06-13 03:56:01,ADA -> USD,ADA,-1293.0,USD,1850.05,USD,1850.05,1850.05,crypto_to_van_sell_order
2021-06-09 19:23:51,Top Up Card,USD,-1122.0,USD,1122.0,USD,1122.0,1122.0,van_card_top_up
2021-06-09 19:21:55,ADA -> USD,ADA,-718.8,USD,1122.73,USD,1122.73,1122.73,crypto_to_van_sell_order
2021-03-15 01:49:01,USD Withdrawal,USD,-822.62,USD,822.62,USD,-822.62,-822.62,van_ach_withdrawal
2021-03-15 01:48:09,ADA -> USD,ADA,-283.5,USD,297.1,USD,297.1,297.1,crypto_to_van_sell_order
2021-03-15 01:05:35,USDC -> USD,USDC,-530.83,USD,525.49,USD,525.49,525.49,crypto_to_van_sell_order
2021-02-17 17:52:15,USD -> ADA,USD,227.98,ADA,256.5,USD,227.98,227.98,van_purchase
2021-02-17 17:51:20,USDC -> USD,USDC,-230.0,USD,228.01,USD,228.01,228.01,crypto_to_van_sell_order
2021-02-16 16:58:44,USD Withdrawal,USD,-1434.57,USD,1434.57,USD,-1434.57,-1434.57,van_ach_withdrawal
2021-02-16 16:57:55,USDC -> USD,USDC,-1449.49,USD,1428.87,USD,1428.87,1428.87,crypto_to_van_sell_order
2021-02-16 00:10:48,USD -> ADA,USD,1033.67,ADA,1197.8,USD,1033.67,1033.67,van_purchase
2021-02-16 00:08:57,USDC -> USD,USDC,-1052.05,USD,1039.37,USD,1039.37,1039.37,crypto_to_van_sell_order
